0.1 207.517
0.12 162.44
0.14 130.243
0.16 106.161
0.18 87.1257
0.2 72.2288
0.2 72.1711
0.22 60.0083
0.24 50.1491
0.26 41.3917
0.28 34.2012
0.3 27.9249
0.25 45.6378
0.3 27.6792
0.35 15.4789
0.4 6.26975
0.45 -0.803985
0.5 -6.10482
0.55 -10.5254
0.6 -14.2542
0.65 -17.1062
0.7 -19.4024
0.8 -23.0122
0.8 -22.9518
0.82 -23.434
0.84 -24.0199
0.85 -24.3131
0.86 -24.5254
0.88 -24.9305
0.9 -25.4922
0.9 -25.5189
0.92 -25.7857
0.94 -26.2101
0.95 -26.2996
0.96 -26.4703
0.98 -26.8716
1. -27.2388
1. -27.2062
1.05 -27.7632
1.1 -28.2827
1.15 -28.8663
1.2 -29.033
1.25 -29.4728
1.3 -29.7142
1.3 -29.703
1.32 -29.8662
1.34 -29.9929
1.35 -30.0395
1.4 -29.9824
1.45 -30.1617
1.5 -30.2574
1.55 -30.2817
1.6 -30.4324
1.65 -30.2613
1.7 -30.3562
1.75 -30.2967
1.8 -30.3244
1.85 -30.302
1.9 -30.2973
1.95 -29.9912
2. -29.9999
2.05 -29.9995 
2.1 -29.8817
2.15 -29.8065
2.2 -29.7182
2.25 -29.5076
2.3 -29.5262
2.35 -29.4617
2.4 -29.3067
2.45 -29.2432
2.5 -29.1274
2.55 -29.0812
2.6 -28.9525
2.65 -28.9264
2.7 -28.8945
2.75 -28.7335
2.8 -28.5867
2.85 -28.5673
2.9 -28.4576
2.95 -28.4722
3. -28.3508
3.05 -28.2757
3.1 -28.2128
3.15 -28.1727
3.2 -28.1563
3.25 -28.0816 
3.3 -28.0545 
3.35 -27.9257 
3.4 -27.929
3.45 -27.9069 
3.5 -27.8561 
3.55 -27.775 
3.6 -27.779
3.65 -27.7457 
3.7 -27.7709 
3.75 -27.6727 
3.8 -27.5995
3.85 -27.6046 
3.9 -27.5714 
3.95 -27.5839
4. -27.5923
20 -28.572
60 -27.6649
