0.7 -19.4005
0.75 -21.0103
0.8 -22.8049 
0.85 -23.5867
0.9 -25.3248
0.95 -26.5321
1. -27.1015
1.05 -27.507
1.1 -28.5305
1.15 -29.0882
1.2 -29.3962
1.25 -29.2787
1.3 -29.5626
1.3 -29.8055
1.3 -30.1725
1.32 -29.8805
1.34 -29.9817
1.36 -29.9986
1.38 -29.9262
1.4 -30.2445
1.4 -30.0301
1.42 -30.0899
1.44 -30.4505
1.46 -30.2029
1.48 -30.0568
1.5 -30.3351
1.5 -30.7529
1.6 -30.315
1.6 -30.5436
1.7 -30.3842
1.8 -30.136
1.9 -30.1023
2. -29.9933
2.1 -29.968
2.2 -29.6038
2.3 -29.4507
2.4 -29.4781
2.5 -29.2244
2.55 -29.0284
2.65 -28.8047
2.7 -28.8083
2.8 -28.8708
2.9 -28.4569
3. -28.5312
3.1 -28.1454
3.2 -28.0735
3.25 -28.0992
3.55 -27.6179
3.85 -27.6098
4.05 -27.721
4.35 -27.4466
4.65 -27.371
4.95 -27.3313
5.25 -27.2871
5.55 -27.3495
5.85 -27.3074
60 -27.6649
